Rank,Person,Outlet / Platform,Primary Medium,ViewerScorey,Distro 1,Distro 2 ,Distro 3,Distro 4,Distro 5,Distro 6,Distro 7
14,Connell McShane,NEWSNATION,Cable TV,"12,098,234",4.861,3.013,1.851,1.127,0.69,0.552,0.004
15,Jesse Watters,FOX,Cable TV,"12,096,588",4.86,3.013,1.851,1.127,0.69,0.552,0.004
16,George Stephanopoulos,ABC,Broadcast TV,"11,585,786",4.655,2.885,1.773,1.079,0.661,0.529,0.004
17,Margaret Brennan,CBS,Broadcast TV,"11,217,609",4.507,2.794,1.716,1.045,0.64,0.512,0.004
18,Martha MacCallum,FOX,Cable TV,"10,983,218",4.413,2.735,1.68,1.023,0.626,0.501,0.004
19,Ezra Klein,NYT,Print,"10,774,514",4.329,2.683,1.648,1.004,0.614,0.492,0.004
20,Stephen A. Smith,YOUTUBE,Podcast,"10,921,443",4.388,2.72,1.671,1.017,0.623,0.498,0.004
21,Ari Shapiro,NPR,Radio + Podcast,"10,375,766",4.169,2.584,1.587,0.967,0.592,0.473,0.004
22,Nichole Berlie,NEWSNATION,Cable TV,"10,160,644",4.082,2.53,1.554,0.946,0.579,0.464,0.004
23,Bret Baier,FOX,Cable TV,"9,962,958",4.003,2.481,1.524,0.928,0.568,0.455,0.004
24,Norah O'Donnell,CBS,Broadcast TV,"9,764,829",3.923,2.432,1.494,0.91,0.557,0.446,0.004
25,Ben Shapiro,DAILYWIRE,Podcast,"9,706,126",3.9,2.417,1.485,0.904,0.554,0.443,0.004
26,Ross Douthat,NYT,Print,"9,389,332",3.772,2.338,1.436,0.875,0.535,0.428,0.004
27,Piers Morgan,YOUTUBE,Digital Video,"9,316,976",3.743,2.32,1.425,0.868,0.531,0.425,0.004
28,Dana Perino,FOX,Cable TV,"9,152,883",3.677,2.279,1.4,0.853,0.522,0.418,0.004
29,Blake Burman,NEWSNATION,Cable TV,"8,469,303",3.403,2.109,1.296,0.789,0.483,0.386,0.004
30,Maggie Haberman,NYT,Print,"8,297,442",3.333,2.066,1.269,0.773,0.473,0.379,0.004
31,Michael Smerconish,CNN / SIRIUSXM,Cable TV + Radio,"8,131,629",3.267,2.025,1.244,0.757,0.464,0.371,0.004
32,Mark Levin,FOX,Cable TV + Radio,"7,954,219",3.195,1.981,1.217,0.741,0.454,0.363,0.004
33,Chris Cuomo,NEWSNATION,Cable TV,"7,696,559",3.092,1.916,1.177,0.717,0.439,0.351,0.004
34,Chris Stirewalt,NEWSNATION,Cable TV,"7,564,156",3.039,1.883,1.157,0.705,0.431,0.345,0.004
35,Wolf Blitzer,CNN,Cable TV,"7,417,757",2.98,1.847,1.135,0.691,0.423,0.338,0.004
36,Jesse Weber,NEWSNATION,Cable TV,"7,272,474",2.921,1.811,1.112,0.677,0.415,0.332,0.004
37,Jessica Tarlov,FOX,Cable TV,"7,151,504",2.873,1.781,1.094,0.666,0.408,0.326,0.004
38,Craig Melvin,NBC,Broadcast TV,"6,993,676",2.809,1.741,1.07,0.651,0.399,0.319,0.004
39,Michael Knowles,DAILYWIRE,Podcast,"6,974,035",2.801,1.736,1.067,0.65,0.398,0.318,0.004
40,Brian Entin,NEWSNATION,Cable TV,"6,700,197",2.691,1.668,1.025,0.624,0.382,0.306,0.004
